IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKI#Bačka_Palanka	Bačka$NOM Palanka$NOM essere$VER:pres una$DET:indef città$NOM e$CON una$DET:indef municipalità$NOM del$PRE:det distretto$NOM di$PRE Bačka$NOM meridionale$ADJ nel$PRE:det parte$NOM occidentale$ADJ del$PRE:det provincia$NOM autonomo$ADJ del$PRE:det Voivodina,$NOM al$PRE:det confine$NOM con$PRE il$DET:def Croazia.$NOM
IT#WIKI#Roger_Hargreaves	in$PRE particolare$ADJ essere$VER:pres conoscere$VER:pper per$PRE il$DET:def serie$NOM Mr.$ABR
IT#WIKIDATA#Q66161	ornitologo$NOM tedesco$ADJ
IT#WIKI#Rallus_madagascariensis	il$DET:def porciglione$NOM del$PRE:det Madagascar$NPR essere$VER:pres un$DET:indef uccello$NOM del$PRE:det famiglia$NOM del$PRE:det Rallidi$NOM endemico$ADJ dell'isola$VER:pres omonima.$NOM
IT#WIKI#Sandrigo	Sandrigo$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Vicenza,$NOM in$PRE Veneto.$NOM
IT#WIKIDATA#Q2731824	EP$NOM del$PRE:det @card@$NUM Seconds$NOM to$FW Mars$NOM del$PRE:det @card@$NUM
IT#WIKI#Gerano	Gerano$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE Roma.$NOM
IT#WIKIDATA#Q284175	comune$NOM ungherese$ADJ
IT#WIKI#Cuneo_salino	il$DET:def cuneo$NOM salino$ADJ essere$VER:pres il$DET:def superficie$NOM di$PRE separazione$NOM tra$PRE l'acqua$NOM dolce$ADJ e$CON l'acqua$VER:remo salare$VER:pper in$PRE presenza$NOM di$PRE intrusione$NOM salina,$NOM ovvero$CON il$DET:def flusso$NOM di$PRE acqua$NOM salare$VER:pper in$PRE un$DET:indef acquifero.$NOM
IT#WIKI#Acqua_distillata	L'acqua$NOM distillato$ADJ essere$VER:pres un'acqua$VER:impe privo$ADJ di$PRE sale$NOM minerale$NOM e$CON gas$NOM disciogliere$VER:pper che$PRO:rela si$PRO:refl ottenere$VER:pres tramite$PRE distillazione.$NOM
IT#WIKIDATA#Q444989	tennista$NOM cileno$ADJ
IT#WIKIDATA#Q285586	gruppo$NOM musicale$ADJ brasiliano$ADJ
IT#WIKIDATA#Q449476	chitarrista$NOM e$CON cantautore$NOM britannico$ADJ
IT#WIKI#Sprötau	Sprötau$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Turingia,$NOM in$PRE Germania.$NOM
IT#WIKI#Charny_(Senna_e_Marna)	Charny$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM di$PRE senna$NOM e$CON marna$NOM nel$PRE:det regione$NOM dell'Île-de-France.$ABR
IT#WIKI#Amédée_Ozenfant	Ozenfant$NOM studiare$VER:remo arte$NOM nel$PRE:det città$NOM natale;$NOM nel$PRE:det @card@$NUM si$PRO:pers recare$VER:remo a$PRE Parigi$NPR per$PRE studiare$VER:infi pittura$NOM e$CON architettura$NOM allAcadémie$NOM de$NPR La$NOM Palette,$NOM dove$PRO:rela essere$VER:remo influenzare$VER:pper dal$PRE:det Puntinismo.$ABR
IT#WIKIDATA#Q771698	scrittore$NOM inglese$ADJ
IT#WIKI#Gutweiler	Gutweiler$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Renania-Palatinato,$NOM in$PRE Germania.$NOM
IT#WIKI#K._W._Jeter	laureare$VER:pper in$PRE sociologia$NOM all'Università$NOM di$PRE San$NPR Francisco,$NOM primo$ADJ di$PRE diventare$VER:infi scrittore$NOM avere$VER:pres lavorare$VER:pper anche$ADV come$PRE assistente$ADJ sociale.$NOM
IT#WIKIDATA#Q462857	lottatore$NOM russo$ADJ
IT#WIKI#Charlot_pittore	Charlot$NOM pittore,$NOM essere$VER:pres un$DET:indef film$NOM interpretare$VER:pper e$CON dirigere$VER:pper da$PRE Charlie$NOM Chaplin,$NOM essere$VER:remo proiettare$VER:pper il$DET:def primo$ADJ volta$NOM il$DET:def @card@$NUM agosto$NOM @ord@$ORD
IT#WIKI#L'ultima_corvè	L'ultima$VER:remo corvè$NOM essere$VER:pres un$DET:indef film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Hal$NOM Ashby,$NOM tratto$NOM da$PRE un$DET:indef romanzo$NOM di$PRE Daryl$NOM Ponicsan$NOM ed$CON interpretare$VER:pper da$PRE jack$NOM Nicholson,$NOM Randy$NOM Quaid$NOM e$CON Otis$NOM Young.$ABR
IT#WIKIDATA#Q1777821	comune$NOM spagnolo$ADJ
IT#WIKIDATA#Q2622911	asteroide$NOM
IT#WIKIDATA#Q60718	botanico$ADJ tedesco$ADJ
IT#WIKI#Ambert	Ambert$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Puy-de-Dôme$NOM nel$PRE:det regione$NOM dell'Alvernia.$ABR
IT#WIKIDATA#Q34636	movimento$NOM artistico-filosofico$ADJ
IT#WIKIDATA#Q59265	comune$NOM italiano$ADJ
IT#WIKIDATA#Q614449	comune$NOM francese$ADJ
IT#WIKIDATA#Q903939	comune$NOM francese$ADJ
IT#WIKI#La_casa_da_tè_alla_luna_d'agosto	il$DET:def casa$NOM da$PRE tè$NOM al$PRE:det luna$NOM d'agosto$NOM essere$VER:pres un$DET:indef film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Daniel$NPR Mann.$ABR
IT#WIKIDATA#Q581376	ciclista$NOM su$PRE strada$NOM e$CON pistard$NOM danese$ADJ
IT#WIKI#Barad-dûr	Barad-dûr$VER:impe essere$VER:pres una$DET:indef torre$NOM di$PRE Arda,$NOM l'universo$ADJ immaginario$ADJ fantasy$NOM creare$VER:pper dal$PRE:det scrittore$NOM inglese$ADJ J.R.R.$ABR
IT#WIKI#Gustaaf_Joos	nascere$VER:remo a$PRE Sint-Niklaas$NOM il$DET:def @card@$NUM luglio$NOM @ord@$ORD
IT#WIKIDATA#Q932345	comune$NOM francese$ADJ
IT#WIKIDATA#Q1027834	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Bruce$NOM Hunt$NOM
IT#WIKI#Torneo_di_Wimbledon_1984_-_Singolare_femminile	Martina$NPR Navratilova$NOM avere$VER:pres battere$VER:pper in$PRE finale$NOM Chris$NPR Evert$NOM @card@$PON @card@$NUM
IT#WIKI#Johnny_Rep	alto$ADJ @card@$NUM cm$NOM e$CON con$PRE peso$NOM forma$NOM @card@$NUM kg,$NOM essere$VER:pres essere|stare$VER:pper un$DET:indef giocatore$NOM dotare$VER:pper di$PRE grande$ADJ rapidità$NOM e$CON ottimo$ADJ gioco$NOM aereo.$ADJ
IT#WIKIDATA#Q2290119	comune$ADJ ceco$NOM
IT#WIKIDATA#Q1769345	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Ochotonidae$NOM
IT#WIKI#Sainte-Colombe_(Charente_Marittima)	Sainte-Colombe$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Charente$NOM Marittima$NOM nel$PRE:det regione$NOM di$PRE Poitou-Charentes.$NOM
IT#WIKIDATA#Q529603	Compositore,$NOM tastierista$NOM e$CON produttore$NOM discografico$ADJ statunitense$ADJ
IT#WIKI#Masami_Kuwashima	dopo$PRE una$DET:indef buono$ADJ carriera$NOM nel$PRE:det serie$NOM minore$ADJ nipponico$ADJ nel$PRE:det @card@$NUM si$PRO:refl trasferire$VER:pres in$PRE Europa$NPR dove$ADV cogliere$VER:pres del$PRE:det buono$ADJ risultato$NOM nel$PRE:det formula$NOM @ord@$ORD
IT#WIKIDATA#Q66875	comune$ADJ statunitense$ADJ dell'Alabama$NOM
IT#WIKI#Izbica_Kujawska	Izbica$VER:impe Kujawska$NOM essere$VER:pres un$DET:indef comune$ADJ urbano-rurale$NOM polacco$ADJ del$PRE:det distretto$NOM di$PRE Włocławek,$NOM nel$PRE:det voivodato$NOM del$PRE:det Cuiavia-Pomerania.$NOM
IT#WIKI#Heerstedt	Heerstedt$NOM essere$VER:pres una$DET:indef frazione$NOM del$PRE:det comune$NOM tedesco$ADJ di$PRE Beverstedt,$NOM in$PRE bassa$NOM Sassonia.$ABR
IT#WIKI#Aumühle	Aumühle$NOM essere$VER:pres un$DET:indef comune$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det Schleswig-Holstein,$NOM situare$VER:pper a$PRE circa$ADV @card@$NUM chilometro$NOM a$PRE est$NOM di$PRE Amburgo,$NOM in$PRE Germania.$NOM
IT#WIKIDATA#Q6398	anno$NOM
IT#WIKIDATA#Q338869	composto$NOM chimico$ADJ
IT#WIKIDATA#Q25856	Bibliotecario,$NOM archivista$NOM e$CON lessicografo$NOM austriaco$ADJ
IT#WIKI#Corvo_(arma)	il$DET:def corvo$NOM essere$VER:impf un$DET:indef congegno$NOM di$PRE abbordaggio$NOM navale$ADJ utilizzare$VER:pper dal$PRE:det romano$NOM nel$PRE:det battaglia$NOM navale$ADJ del$PRE:det prima|primo$NOM guerra$NOM Punica$NOM contro$PRE Cartagine.$NOM
IT#WIKI#Miranda_del_Castañar	Miranda$NPR del$PRE:det Castañar$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ di$PRE Castiglia$NOM e$CON León.$NOM
IT#WIKI#21634_Huangweikang	@card@$NUM Huangweikang$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Naiman	il$DET:def Najman$NOM o$CON Naiman$NOM essere$VER:remo un$DET:indef gruppo$NOM tribale$ADJ centroasiatico-altaico,$NOM una$DET:indef del$PRE:det maggiore$ADJ sottodivisione$NOM del$PRE:det mongoli.$NOM
IT#WIKIDATA#Q11169	segno$NOM tipografico$ADJ di$PRE punteggiatura$NOM
IT#WIKIDATA#Q1352344	cardinale$NOM e$CON arcivescovo$NOM cattolico$ADJ belga$ADJ
IT#WIKI#Lemuria_(cerimonie)	il$DET:def Lemuria$NOM o$CON Lemuralia$NOM essere$VER:impf del$PRE:det festa$NOM dell'antica$ADJ Roma,$NOM che$PRO:rela venire$VER:impf celebrare$VER:pper il$DET:def @card@$NUM l'11$NOM e$CON il$DET:def @card@$NUM maggio,$NOM per$PRE esorcizzare$VER:infi il$DET:def spirito$NOM del$PRE:det morti,$NOM il$DET:def lemuri.$NOM
IT#WIKIDATA#Q180879	calciatore$NOM portoghese$ADJ
IT#WIKI#Parco_del_Cinquantenario	il$DET:def parco$NOM del$PRE:det cinquantenario$NOM essere$VER:pres un$DET:indef parco$NOM urbano$ADJ di$PRE @card@$NUM ettari,$NOM situare$VER:pper nel$PRE:det parte$NOM orientale$ADJ del$PRE:det quartiere$NOM del$PRE:det istituzione$NOM europeo$ADJ di$PRE Bruxelles,$NOM in$PRE Belgio.$NOM
IT#WIKI#7735_Scorzelli	@card@$NUM Scorzelli$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Chris_Adler	essere$VER:pres uno$ADJ del$PRE:det membro$NOM fondatore$NOM del$PRE:det Lamb$NPR of$NPR God$NOM nel$PRE:det @card@$NUM quando$CON il$DET:def gruppo$NOM si$PRO:refl chiamare$VER:impf "Burn$NOM the$NOM Priest".$ABR
IT#WIKI#Carl_Van_Vechten	Carl$NPR Van$NPR Vechten$NOM si$PRO:pers appassionare$VER:remo di$PRE musica$NOM e$CON teatro$NOM sin$PRE da$PRE giovanissimo,$NOM ma$CON il$DET:def suo$PRO:poss città$NOM natale$ADJ nell'Iowa$ADJ offrire$VER:impf scarso$ADJ stimolo$NOM culturali.$NOM
IT#WIKIDATA#Q273108	persona$NOM che$PRO:rela guidare$VER:pres un$DET:indef esercito$NOM o$CON un$DET:indef popolo$NOM
IT#WIKI#Jalgpalliklubi_Tallinna_Sadam	il$DET:def Jalgpalliklubi$NOM Tallinna$NOM Sadam,$NOM conoscere$VER:pper anche$ADV come$PRE Sadam$NOM Tallinn,$NOM essere$VER:impf una$DET:indef società$NOM calcistico$ADJ estone$NOM di$PRE Tallinn.$NOM
IT#WIKIDATA#Q1767051	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Muridae$NOM
IT#WIKI#Sovralimentazione_tramite_compressore_volumetrico	il$DET:def compressore$NOM volumetrico$ADJ venire$VER:pres utilizzare$VER:pper per$PRE il$DET:def sovralimentazione$NOM di$PRE motore$NOM alternativo$ADJ endotermici.$NOM
IT#WIKI#Isole_della_Nuova_Siberia	il$DET:def isola$NOM del$PRE:det nuova$NOM siberia$NOM essere|sonare$VER:pres un$DET:indef arcipelago$NOM situare$VER:pper nell'artico$ADJ russo$NOM tra$PRE il$DET:def mare$NOM di$PRE Laptev$NOM ad$PRE ovest$NOM ed$CON il$DET:def mare$NOM del$PRE:det siberia$NOM Orientale$NOM ad$PRE est,$NOM alcuno$PRO:indef centinaio$NOM di$PRE chilometro$NOM al$PRE:det largo$NOM del$PRE:det costa$NOM jakuta.$NOM
IT#WIKI#Mechanical_Animals	Mechanical$NOM Animals$NOM essere$VER:pres il$DET:def terzo$ADJ album$NOM in$PRE studio$NOM del$PRE:det rock$NOM band$NOM americano$ADJ del$PRE:det Marilyn$NOM Manson.$ABR
IT#WIKI#Fréménil	Fréménil$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Meurthe$NOM e$CON Mosella$NOM nel$PRE:det regione$NOM del$PRE:det Lorena.$NOM
IT#WIKIDATA#Q392370	attore$NOM statunitense$ADJ
IT#WIKI#Shadows_are_Security	Shadows$NOM ara$NOM Security$NOM essere$VER:pres il$DET:def terzo$ADJ album$NOM del$PRE:det As$NOM il$DET:def Lay$NOM Dying$NOM pubblicare$VER:pper nel$PRE:det @card@$NUM dal$PRE:det Metal$NPR Blade$NOM Records,$NOM produrre$VER:pper dal$PRE:det cantante$ADJ Tim$NOM Lambesis$NOM e$CON dal$PRE:det chitarrista$NOM Phil$NOM Sgrosso$NOM insieme$ADV a$PRE Steve$NPR Russel.$ABR
IT#WIKIDATA#Q13814	comune$NOM spagnolo$ADJ
IT#WIKIDATA#Q547766	calciatore$NOM inglese$ADJ
IT#WIKIDATA#Q154544	asteroide$NOM
IT#WIKIDATA#Q68972	comune$NOM svizzero$ADJ
IT#WIKIDATA#Q933794	singolo$ADJ del$PRE:det green$NOM day$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q486796	politico$ADJ greco$NOM
IT#WIKI#David_Archuleta	il$DET:def @card@$NUM maggio$NOM @card@$NUM si$PRO:pers essere$VER:pres classificare$VER:pper secondo$ADJ nel$PRE:det settimo$ADJ stagione$NOM di$PRE American$NPR Idol$NOM dove$PRO:rela avere$VER:pres perdere$VER:pper in$PRE finale$NOM contro$PRE David$NPR Cook$NOM ottenere$VER:geru il$DET:def @card@$NUM percento$NOM del$PRE:det voti.$NOM
