FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#Taraf_de_Haïdouks	Taraf$NAM de$PRP Haïdouks$NAM être$VER:pres un$DET:ART ensemble$NOM musical$ADJ de$PRP Rom$NOM de$PRP Roumanie,$NOM originaire$ADJ de$PRP Clejani.$NAM
FR#WIKI#Walter_Burkert	Walter$NAM Burkert,$NAM naître$VER:pper le$DET:ART @card@$NUM février$NOM @card@$NUM à$PRP Neuendettelsau,$NAM être$VER:pres un$DET:ART chercheur$NOM et$KON un$DET:ART universitaire$ADJ allemand,$NOM spécialiser$VER:pper en$PRP mythologie$NOM et$KON en$PRP histoire$NOM du$PRP:det religions,$NOM et$KON connaître$VER:pper pour$PRP son$DET:POS travail$NOM sur$PRP le$DET:ART religion$NOM grecque$ADJ antique$ADJ et$KON le$DET:ART culte$NOM à$PRP mystères.$NOM
FR#WIKI#Grünbach_am_Schneeberg	Grünbach$NAM am$VER:futu Schneeberg$NAM être$VER:pres un$DET:ART commune$NOM autrichien$ADJ du$PRP:det district$NOM de$PRP Neunkirchen$NAM en$PRP Basse-Autriche.$NAM
FR#WIKIDATA#Q375725	film$NOM italien$ADJ réaliser$VER:pper par$PRP Luciano$NAM Salce,$ABR sortir$VER:pper en$PRP @card@$NUM
FR#WIKI#Montégut-Plantaurel	Montégut-Plantaurel$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Ariège$NOM et$KON le$DET:ART région$NOM Midi-Pyrénées.$NAM
FR#WIKI#Pétrus_(vin)	Pétrus$NAM être$VER:pres un$DET:ART vin$NOM de$PRP le$DET:ART région$NOM viticole$ADJ de$PRP Pomerol$NAM près$ADV de$PRP Bordeaux,$NAM dont$PRO:REL il$PRO:PER avoir$VER:pres l'appellation.$VER:pper
FR#WIKIDATA#Q284360	photographe$NOM américain$ADJ
FR#WIKI#Wasserfreunde_Spandau_04	le$DET:ART Wasserfreunde$NAM Spandau$NAM @card@$NUM être$VER:pres un$DET:ART club$NOM allemand$ADJ de$PRP natation$NOM et$KON de$PRP water-polo$NOM du$PRP:det quartier$NOM de$PRP Spandau$NAM à$PRP Berlin.$NAM
FR#WIKI#Alex_Borstein	Alex$NAM Borstein$NAM être$VER:pres un$DET:ART actrice,$NOM scénariste$NOM et$KON producteur$NOM américain$ADJ naître$VER:pper le$DET:ART à$PRP Highland$NAM Park$NAM près$ADV de$PRP Chicago,$ABR Illinois.$NAM
FR#WIKI#Irvine_(Californie)	Irvine$NAM être$VER:pres un$DET:ART municipalité$NOM du$PRP:det comté$NOM d'Orange$VER:subp en$PRP Californie$NAM dont$PRO:REL le$DET:ART population$NOM être$VER:impf de$PRP habitant$NOM en$PRP @ord@$NAM
FR#WIKIDATA#Q308925	footballeur$NOM allemand$ADJ
FR#WIKI#Kellogg's	le$DET:ART Kellogg$NAM Company$NAM ou$KON Kellogg's$NAM être$VER:pres un$DET:ART entreprise$NOM américain$ADJ spécialiser$VER:pper dans$PRP l'agro-alimentaire$NOM dont$PRO:REL le$DET:ART siège$NOM se$PRO:PER trouver$VER:pres à$PRP Battle$NAM Creek,$ABR Michigan,$ABR États-Unis.$ABR
FR#WIKI#La_Mort_suspendue	le$DET:ART mort$NOM suspendre$VER:pper être$VER:pres un$DET:ART livre$NOM écrire$VER:pres par$PRP l'alpiniste$ADJ Joe$NAM Simpson$NAM et$KON publier$VER:pper en$PRP @ord@$NAM
FR#WIKI#Transmetteur_d'ordres	le$DET:ART transmetteur$ADJ d'ordres$NOM appeler$VER:pper aussi$ADV Chadburn$NAM par$PRP association$NOM au$PRP:det nom$NOM du$PRP:det plus$ADV grand$ADJ constructeur$NOM mondial$ADJ ou$KON télégraphe,$ADJ être$VER:pres un$DET:ART appareil$NOM mécanique$ADJ qui$PRO:REL permettre$VER:pres de$PRP transmettre$VER:infi sur$PRP un$DET:ART navire$NOM le$DET:ART ordre$NOM concerner$VER:ppre le$DET:ART propulsion,$NOM de$PRP le$DET:ART passerelle$NOM à$PRP le$DET:ART salle$NOM du$PRP:det machines.$ABR
FR#WIKI#Sigge_Parling	Sigvard$ADJ « Sigge »$VER:pper Parling$NAM être$VER:impf un$DET:ART footballeur$NOM suédois$ADJ naître$VER:pper le$DET:ART @card@$NUM mars$NOM @card@$NUM à$PRP Valbo.$NAM
FR#WIKIDATA#Q39221	commune$NOM italien$ADJ
FR#WIKI#Just_the_Way_You_Are_(chanson)	Just$NAM the$VER:futu Way$NOM you$NOM Are$NAM être$VER:pres un$DET:ART chanson$NOM interpréter$VER:pper par$PRP Billy$NAM Joel$NAM et$KON paraître$VER:pper sur$PRP l'album$NOM The$NAM Stranger$NAM en$PRP @ord@$NAM
FR#WIKI#Armix	Armix$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Ain$NOM et$KON le$DET:ART région$NOM Rhône-Alpes.$NAM
FR#WIKI#Valmont_(Seine-Maritime)	Valmont$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Seine-Maritime$NAM et$KON le$DET:ART région$NOM Haute-Normandie,$ABR situer$VER:pper à$PRP @card@$NUM kilomètre$ABR de$PRP Fécamp.$NAM
FR#WIKIDATA#Q660553	Écrivain,$NOM historien$NOM et$KON journaliste$NOM français$ADJ
FR#WIKIDATA#Q746288	station$NOM du$PRP:det métro$NOM de$PRP Paris$NAM
FR#WIKIDATA#Q261404	commune$NOM français$ADJ
FR#WIKIDATA#Q194668	commune$NOM français$ADJ
FR#WIKI#Vincenzo_Campi	Vincenzo$NAM Campi$NAM être$VER:pres un$DET:ART peintre$NOM italien$ADJ et$KON le$DET:ART frère$NOM cadet$ADJ et$KON l'élève$NOM de$PRP Giulio$NAM Campi$NAM et$KON Antonio$NAM Campi$NAM et$KON le$DET:ART fil|fils$NOM de$PRP Galeazzo$NAM Campi.$ABR
FR#WIKI#Paragraphe_(symbole)	§$NOM être$VER:pres un$DET:ART symbole$NOM typographique$ADJ qui$PRO:REL servir$VER:pres à$PRP désigner$VER:infi un$DET:ART paragraphe$NOM dans$PRP un$DET:ART renvoi.$ABR
FR#WIKI#Mondariz-Balneario	Mondariz-Balneario$NAM être$VER:pres un$DET:ART commune$NOM de$PRP le$DET:ART province$NOM de$PRP Pontevedra$NOM en$PRP Espagne$NAM situer$VER:pper dans$PRP le$DET:ART communauté$NOM autonome$ADJ de$PRP Galice.$NAM
FR#WIKI#Camerata_Picena	Camerata$NAM Picena$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ d'environ$NOM habitants,$ADJ situer$VER:pper dans$PRP le$DET:ART province$NOM d'Ancône,$ADJ dans$PRP le$DET:ART région$NOM Marches,$NAM en$PRP Italie$NAM centrale.$ABR
FR#WIKIDATA#Q557408	commune$NOM polonais$ADJ
FR#WIKI#Monneren	Monneren$NAM être$VER:pres un$DET:ART commune$NOM français$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Moselle.$NAM
FR#WIKI#Robert_Watson-Watt	Sir$NAM Robert$NAM Alexander$NAM Watson-Watt,$ABR ingénieur$NOM écosser$VER:impf naître$VER:pper le$DET:ART et$KON mort$NOM le,$ADJ être$VER:pres parfois$ADV considérer$VER:pper incorrectement$ADV comme$ADV l'inventeur$ADJ du$PRP:det radar.$ABR
FR#WIKI#Galgamácsa	Galgamácsa$NAM être$VER:pres un$DET:ART village$NOM et$KON un$DET:ART commune$NOM du$PRP:det comitat$NOM de$PRP Pest$NAM en$PRP Hongrie.$NAM
FR#WIKIDATA#Q1326511	tournoi$NOM de$PRP tennis$NOM
FR#WIKI#Ka-Zar	Ka-Zar$NAM être$VER:pres le$DET:ART nom$NOM de$PRP deux$NUM personnage$NOM évoluer$VER:ppre dans$PRP un$DET:ART jungle$NOM imaginaire.$ADJ
FR#WIKIDATA#Q46318	année$NOM
FR#WIKIDATA#Q208490	famille$NOM de$PRP poisson$NOM
FR#WIKI#Producteur_de_cinéma	le$DET:ART producteur$NOM de$PRP cinéma$NOM être$VER:pres le$DET:ART personne$NOM qui$PRO:REL finance$NOM ou$KON qui$PRO:REL coordonner$VER:pres le$DET:ART financement$NOM d'un$ADJ film$NOM et$KON qui$PRO:REL contrôler$VER:pres le$DET:ART dépense$NOM par$PRP rapport$NOM au$PRP:det budget.$NOM
FR#WIKIDATA#Q780523	commune$NOM français$ADJ
FR#WIKIDATA#Q657135	commune$NOM français$ADJ
FR#WIKI#Botev_Plovdiv	le$DET:ART FK$NAM Botev$NAM Plovdiv$NAM être$VER:pres un$DET:ART club$NOM bulgare$ADJ de$PRP football$NOM baser$VER:pper à$PRP Plovdiv.$NAM
FR#WIKI#Canton_de_Romilly-sur-Seine-2	le$DET:ART canton$NOM de$PRP Romilly-sur-Seine-2$NOM être$VER:pres un$DET:ART division$NOM administratif$ADJ français$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Aube$NOM et$KON le$DET:ART région$NOM Champagne-Ardenne.$ABR
FR#WIKI#Asley_González	Asley$NAM González$NAM être$VER:pres un$DET:ART judoka$NOM cubain$ADJ naître$VER:pper le$DET:ART @card@$NUM septembre$NOM @card@$NUM dans$PRP le$DET:ART province$NOM de$PRP Villa$NAM Clara.$ABR
FR#WIKI#DotNetNuke	DotNetNuke$NAM être$VER:pres un$DET:ART système$NOM de$PRP gestion$NOM de$PRP contenu.$ABR
FR#WIKIDATA#Q475524	commune$NOM français$ADJ
FR#WIKI#Blond_Ambition_Tour	le$DET:ART Blond$NAM Ambition$NAM Tour$NAM être$VER:pres le$DET:ART troisième$NUM tournée$NOM de$PRP le$DET:ART chanteur$NOM américain$ADJ Madonna.$NAM
FR#WIKIDATA#Q1702252	série$NOM de$PRP télévision$NOM américain$ADJ
FR#WIKIDATA#Q421873	composé$NOM chimique$ADJ
FR#WIKI#Aunat	Aunat$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l’Aude$NOM et$KON le$DET:ART région$NOM Languedoc-Roussillon.$NAM
FR#WIKI#Robin_Tunney	Robin$NAM Tunney$NAM être$VER:pres un$DET:ART acteur|actrice$NOM américain$ADJ naître$VER:pper le$DET:ART à$PRP Chicago,$ABR Illinois.$NAM
FR#WIKI#Gunnar_Myrdal	Gunnar$NOM Myrdal,$ABR économiste$NOM suédois$ADJ et$KON lauréat$ADJ du$PRP:det prix$NOM de$PRP le$DET:ART banque$NOM de$PRP Suède$NAM en$PRP science$NOM économique$ADJ en$PRP mémoire$NOM d'Alfred$NAM Nobel$NAM en$PRP @ord@$NAM
FR#WIKIDATA#Q3809	un$DET:ART commune$NOM urbaine-rurale$ADJ de$PRP le$DET:ART Voïvodie$NAM du$PRP:det Basses-Carpates$NAM et$KON du$PRP:det powiat$NOM de$PRP Przeworsk$NAM
FR#WIKIDATA#Q580799	commune$NOM hongrois$ADJ
FR#WIKIDATA#Q262130	acteur$NOM américain$ADJ
FR#WIKIDATA#Q1777821	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q43933	étoile$NOM
FR#WIKIDATA#Q550424	ville$NOM britannique$ADJ du$PRP:det Herefordshire$NAM
FR#WIKIDATA#Q670626	commune$NOM autrichien$ADJ
FR#WIKI#Clotilde_(465-545)	Clotilde,$NOM ou$KON vers$PRP @card@$NUM mort$NOM autour$ADV de$PRP @card@$NUM être$VER:pres un$DET:ART princesse$NOM burgonde,$ADJ devenir$VER:pper reine$NOM du$PRP:det Francs$NAM en$PRP épouser$VER:ppre Clovis,$ABR qu'elle$NOM contribuer$VER:pres à$PRP convertir$VER:infi au$PRP:det christianisme.$ABR
FR#WIKIDATA#Q272052	commune$NOM français$ADJ
FR#WIKI#Nid_d'hirondelle_(Crimée)	le$DET:ART château$NOM du$PRP:det Nid$NAM d'hirondelle$NOM être$VER:pres un$DET:ART château$NOM néo-gothique,$ADJ situer$VER:pper à$PRP Gaspra,$NAM près$ADV de$PRP Yalta,$NAM sur$PRP le$DET:ART bord$NOM de$PRP le$DET:ART mer$NOM Noire,$ABR en$PRP république$NOM autonome$ADJ de$PRP Crimée.$NAM
FR#WIKIDATA#Q521694	ville$NOM de$PRP Serbie$NAM
FR#WIKIDATA#Q283878	jeu$NOM vidéo$ADJ de$PRP @card@$NUM
FR#WIKIDATA#Q2840898	ville$NOM américain$ADJ
FR#WIKI#Colinus	le$DET:ART genre$NOM Colinus$ADJ regrouper$VER:pres quatre$NUM espèce$NOM d'oiseaux$NOM galliformes$NOM appartenir$VER:ppre à$PRP le$DET:ART famille$NOM du$PRP:det Odontophoridae.$ABR
FR#WIKIDATA#Q1751249	commune$NOM espagnol$ADJ
FR#WIKIDATA#Q2596170	ville$NOM américain$ADJ de$PRP l'état$NOM de$PRP l'Oregon$NOM
FR#WIKI#Beowulf_(film,_1999)	Beowulf$NAM être$VER:pres un$DET:ART film$NOM américain$ADJ réaliser$VER:pper par$PRP Graham$NAM Baker,$ABR sortir$VER:pper en$PRP @ord@$NAM
FR#WIKI#Jay_Miner	Jay$NAM Miner$NAM être$VER:pres un$DET:ART concepteur$NOM américain$ADJ de$PRP circuit$NOM intégré,$ADJ connaître$VER:pper pour$PRP son$DET:POS travail$NOM dans$PRP le$DET:ART domaine$NOM du$PRP:det chipsets$NOM multimédia.$ADJ
FR#WIKIDATA#Q61597	acteur|actrice$NOM allemand$ADJ
FR#WIKIDATA#Q214785	Décénie$NOM
FR#WIKI#Parabolani	le$DET:ART Parabalanis,$NOM ou$KON Parabolani,$NOM avoir$VER:pres être$VER:pper le$DET:ART membre$NOM d'une$VER:subp confrérie$NOM chrétien$ADJ qui,$NOM dans$PRP l'Église$NOM primitif$ADJ avoir$VER:pres volontairement$ADV entreprendre$VER:pper le$DET:ART soin$NOM au$PRP:det malade$NOM et$KON l'enterrement$NOM du$PRP:det morts,$NOM espérer$VER:ppre ainsi$ADV mourir$VER:infi pour$PRP le$DET:ART Christ.$ABR
FR#WIKI#Michele_Polverino	Michele$NAM Polverino$NAM être$VER:pres un$DET:ART joueur$NOM de$PRP football$NOM professionnel$ADJ international$ADJ du$PRP:det Liechtenstein,$ABR naître$VER:pper le$DET:ART @card@$NUM septembre$NOM @ord@$ADJ
FR#WIKI#Empire_Burlesque	Empire$NAM Burlesque$NAM être$VER:pres un$DET:ART album$NOM de$PRP Bob$NAM Dylan,$ABR auteur-compositeur-interprète$NOM américain$ADJ de$PRP folk-rock,$NOM sortir$VER:pper en$PRP @ord@$NAM
FR#WIKIDATA#Q44013	ville$NOM du$PRP:det Canada$NAM
FR#WIKI#Sabaillan	Sabaillan$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Gers$NAM et$KON le$DET:ART région$NOM Midi-Pyrénées.$NAM
FR#WIKI#Sainte-Colombe_(Charente-Maritime)	Sainte-Colombe$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Charente-Maritime$NAM et$KON le$DET:ART région$NOM Poitou-Charentes.Ses$VER:subp habitant$NOM être$VER:pres appeler$VER:pper le$DET:ART Sainte-Colombinois$NAM et$KON le$DET:ART Sainte-Colombinoises.$NAM
FR#WIKIDATA#Q415020	composé$NOM chimique$ADJ
FR#WIKIDATA#Q139193	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q596	planète$NOM nain$ADJ du$PRP:det système$NOM solaire$ADJ
FR#WIKIDATA#Q552413	footballeur$NOM serbe$ADJ
FR#WIKI#Robert_Napier_(1er_baron_Napier_de_Magdala)	le$DET:ART Field$NAM Marshal$NAM Robert$NAM Cornelis$NAM Napier,$ABR baron$NOM Napier$NOM de$PRP Magdala,$NOM être$VER:pres un$DET:ART membre$NOM de$PRP l'armée$ADJ britannique,$NOM membre$NOM de$PRP l'Ordre$NOM du$PRP:det Bain,$NOM de$PRP l'Ordre$NOM de$PRP l'Étoile$NOM d'Inde,$ADJ de$PRP l'Ordre$NOM de$PRP l'Empire$NOM du$PRP:det Indes$NAM et$KON de$PRP le$DET:ART Royal$NAM Society.$NAM
FR#WIKI#Shadows_Are_Security	Shadows$NAM Are$NAM Security$NAM être$VER:pres le$DET:ART troisième$NUM album$NOM studio$NOM du$PRP:det groupe$NOM de$PRP metalcore$NOM Américain.$ABR
FR#WIKI#Doug_Hutchison	Douglas$NAM Anthony$NAM "Doug"$ABR Hutchison$NAM être$VER:pres un$DET:ART acteur$NOM américain,$ADJ naître$VER:pper le$DET:ART à$PRP Dover,$NAM dans$PRP le$DET:ART Delaware.$ABR
FR#WIKI#Nébuleuse_du_Boomerang	le$DET:ART nébuleuse$NOM du$PRP:det Boomerang$NAM être$VER:pres un$DET:ART nébuleux$ADJ protoplanétaire$NOM situer$VER:pper à$PRP @card@$NUM années-lumière$NOM de$PRP le$DET:ART Terre$NAM dans$PRP le$DET:ART constellation$NOM du$PRP:det Centaure.$ABR
FR#WIKI#Natalia_Gousseva_(actrice)	Natalia$NAM Evguenievna$NAM Mourachkevitch,$ABR naître$VER:pper Natalia$NAM Gousseva$NAM à$PRP Moscou$NAM le,$NOM être$VER:pres un$DET:ART acteur|actrice$NOM soviétique.$ADJ
FR#WIKI#Université_de_Salerne	L'Université$NOM de$PRP Salerne$NAM être$VER:pres un$DET:ART université$NOM italien$ADJ dont$PRO:REL le$DET:ART siège$NOM être$VER:pres à$PRP Salerne,$NAM en$PRP Campanie.$NAM
FR#WIKIDATA#Q40175	commune$NOM italien$ADJ
FR#WIKIDATA#Q2081885	municipalité$NOM brésilien$ADJ
FR#WIKI#Christian_Schad	Christian$NAM Schad,$NAM naître$VER:pper à$PRP Miesbach,$NAM dans$PRP le$DET:ART district$NOM de$PRP Haute-Bavière$NAM en$PRP Allemagne$NAM le$DET:ART et$KON mort$NOM à$PRP Stuttgart$NAM le$DET:ART @card@$NUM février$NOM @card@$NUM être$VER:impf un$DET:ART peintre$NOM et$KON un$DET:ART photographe$NOM allemand.$ADJ
FR#WIKI#Maracalagonis	Maracalagonis$NAM être$VER:pres un$DET:ART commune$NOM italien$ADJ de$PRP le$DET:ART province$NOM de$PRP Cagliari$NAM dans$PRP le$DET:ART région$NOM Sardaigne$NAM en$PRP Italie.$NAM
FR#WIKIDATA#Q1189513	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Paul_Capdeville	Paul$NAM Gerard$NAM Capdeville$NAM Castro,$ABR naître$VER:pper le$DET:ART @card@$NUM avril$NOM @card@$NUM à$PRP Santiago$NAM du$PRP:det Chili,$NAM être$VER:pres un$DET:ART joueur$NOM de$PRP tennis$NOM chilien,$ADJ professionnel$ADJ depuis$PRP @ord@$NAM
FR#WIKI#Déclaration_commune_sur_la_justification_par_la_foi	déclaration$NOM commune$NOM à$PRP l'Église$NOM catholique$ADJ romain$ADJ et$KON à$PRP deux$NUM fédération$NOM d'églises$VER:subp protestant$ADJ sur$PRP un$DET:ART point$NOM de$PRP doctrine$NOM qui$PRO:REL diviser$VER:impf :$PUN est-on$ADJ sauver$VER:pper par$PRP son$DET:POS œuvre$NOM ou$KON par$PRP son$DET:POS foi$NOM ?$SENT
FR#WIKIDATA#Q240055	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Iouri_Loujkov	Iouri$NOM Mikhaïlovich$NAM Loujkov,$ABR naître$VER:pper le$DET:ART @card@$NUM septembre$NOM @card@$NUM à$PRP Moscou,$NAM être$VER:pres un$DET:ART personnalité$NOM politique$ADJ russe.$ADJ
FR#WIKI#La_Pesga	le$DET:ART Pesga$NOM être$VER:pres un$DET:ART commune$NOM d’Espagne,$ADJ dans$PRP le$DET:ART province$NOM de$PRP Cáceres,$ABR communauté$NOM autonome$ADJ d'Estrémadure.$ADJ
FR#WIKI#Brawn_BGP_001	le$DET:ART Brawn$NAM BGP001$NAM être$VER:pres le$DET:ART monoplace$NOM de$PRP Formule$NAM @card@$NUM engager$VER:pper par$PRP l'équipe$NOM Brawn$NAM GP$NAM Formula$NAM One$NAM Team$NAM dans$PRP le$DET:ART championnat$NOM du$PRP:det monde$NOM de$PRP Formule$NAM @card@$NUM @ord@$ABR
FR#WIKIDATA#Q1863849	album$NOM d'Alizée$VER:pper
FR#WIKI#Rama_Navami	ramer$VER:simp Navami$NOM être$VER:pres un$DET:ART fête$NOM populaire$ADJ hindoue,$NOM qui$PRO:REL célébrer$VER:pres le$DET:ART naissance$NOM de$PRP Rāma,$ABR prince$NOM d’Ayodhyâ$NOM et$KON fil|fils$NOM de$PRP Dasharatha$NAM de$PRP Kaushalyâ.$NAM
FR#WIKI#Tabatinga	Tabatinga$NAM être$VER:pres un$DET:ART localité$NOM portuaire$ADJ fluvial$ADJ brésilien$ADJ de$PRP @card@$NUM @card@$NUM habitant$NOM situer$VER:pper sur$PRP le$DET:ART rio$NOM Solimões,$ABR en$PRP amont$NOM de$PRP Benjamin$NAM Constant$NAM et$KON Manaus$NOM et$KON en$PRP aval$NOM d'Iquitos,$ADJ à$PRP @card@$NUM @card@$NUM par$PRP voie$NOM fluvial$ADJ et$KON @card@$NUM @card@$NUM en$PRP ligne$NOM droit$ADJ de$PRP Manaus,$NOM capital$ADJ de$PRP l'État.$NOM
FR#WIKI#Théorie_de_Galois	en$PRP mathématique$ADJ et$KON plus$ADV précisément$ADV en$PRP algèbre,$NOM le$DET:ART théorie$NOM de$PRP Galois$NAM être$VER:pres l'étude$NOM du$PRP:det extension$NOM de$PRP corps$NOM commutatifs,$ADJ par$PRP le$DET:ART biais$ADJ d'une$NOM correspondance$NOM avec$PRP du$PRP:det groupe$NOM de$PRP transformation$NOM sur$PRP ce$PRO:DEM extensions,$NOM le$DET:ART groupe$NOM de$PRP Galois.$NAM
FR#WIKIDATA#Q457432	politicien$ADJ américain$NOM
FR#WIKIDATA#Q20249	commune$NOM allemand$ADJ
FR#WIKI#Coupe_du_monde_de_ski_alpin_1994	le$DET:ART coupe$NOM du$PRP:det monde$NOM de$PRP ski$NOM alpin$ADJ @card@$NUM commencer$VER:pres le$DET:ART @card@$NUM octobre$NOM @card@$NUM avec$PRP le$DET:ART géant$NOM Hommes$NAM de$PRP Sölden$NAM et$KON se$PRO:PER terminer$VER:pres le$DET:ART @card@$NUM mars$NOM @card@$NUM avec$PRP le$DET:ART slalom$NOM Femmes$NAM de$PRP Vail.$NAM
FR#WIKI#Eilscheid	Eilscheid$NAM être$VER:pres un$DET:ART municipalité$NOM allemand$ADJ situer$VER:pper dans$PRP le$DET:ART land$NOM de$PRP Rhénanie-Palatinat$NAM et$KON l'Arrondissement$NOM d'Eifel-Bitburg-Prüm.$ADJ
FR#WIKI#Photogrammétrie	le$DET:ART photogrammétrie$NOM être$VER:pres un$DET:ART technique$NOM qui$PRO:REL consister$VER:pres à$PRP effectuer$VER:infi du$PRP:det mesure$NOM dans$PRP un$DET:ART scène,$NOM en$PRP utiliser$VER:ppre le$DET:ART parallaxe$NOM obtenir$VER:pper entre$PRP du$PRP:det image$NOM acquérir$VER:pper selon$PRP du$PRP:det point$NOM de$PRP vue$NOM différents.$ADJ
FR#WIKI#Mot_de_l'année	le$DET:ART mot$NOM de$PRP l’année$NOM désigner$VER:pres un$DET:ART mot$NOM à$PRP le$DET:ART mode$NOM qui$PRO:REL caractériser$VER:pres un$DET:ART événement$NOM ou$KON un$DET:ART discussion$NOM typique$ADJ d'une$VER:subp année$NOM dans$PRP un$DET:ART pays.$NOM
FR#WIKIDATA#Q32396	compagnie$NOM aérien$ADJ américain$ADJ
FR#WIKIDATA#Q2622911	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q1100672	ville$NOM de$PRP Croatie_$NAM
FR#WIKIDATA#Q2003031	commune$NOM tchèque$ADJ
FR#WIKIDATA#Q661794	footballeur$NOM allemand$ADJ
FR#WIKI#Judy_Davis	Judy$NAM Davis$NAM être$VER:pres un$DET:ART acteur|actrice$NOM australienne,$ADJ naître$VER:pper le$DET:ART @card@$NUM avril$NOM @card@$NUM à$PRP Perth,$NOM en$PRP Australie-Occidentale.$NAM
FR#WIKIDATA#Q871501	commune$NOM autrichien$ADJ du$PRP:det district$NOM de$PRP Neunkirchen$NAM en$PRP Basse-Autriche.$NAM
FR#WIKI#Peugeot_P4	le$DET:ART Peugeot$NAM P4$NAM être$VER:pres un$DET:ART véhicule$NOM léger$ADJ à$PRP quatre$NUM roue$NOM moteur|motrice$ADJ produire$VER:pper par$PRP Peugeot,$NOM présenter$VER:pper en$PRP mars$NOM @card@$NUM à$PRP Satory$NAM et$KON utiliser$VER:pper par$PRP l'armée$NOM français$ADJ sous$PRP le$DET:ART désignation$NOM de$PRP Véhicule$NAM léger$ADJ tout-terrain.$NOM
